# Env keys under C:\cevict-live (sorted by key name)
# Generated: 2026-02-04 04:29:54
#
KEY	HAS_VALUE	FILE(S)	VALUE_OR_MASKED
---	--------	-------	---------------
_ADMIN_PASSWORD	yes	apps\cevict\apps\progno\.env.local; backups\_20260108_0705cevict\apps\progno\.env.local; backups\_20260108_0711cevict\apps\progno\.env.local	(use -IncludeValues to show)
ACTIVITIES_BOT_URL	yes	old-cevict-monorepo\apps\wheretovacation\.env.local.example	(use -IncludeValues to show)
ADMIN_KEY	yes	apps\petreunion\.env.local; cloud-orchestrator\.env.example; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
ADMIN_PASSWORD	yes	apps\cevict\apps\progno\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.example; backups\_20260108_0705brain\.env.local; backups\_20260108_0705cevict\apps\progno\.env.local; backups\_20260108_0705gcc\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0705progno\.env.local; backups\_20260108_0705prognostication\.env.local; backups\_20260108_0705smokersrights\.env.local; backups\_20260108_0705wheretovacation\.env.local; backups\_20260108_0705wheretovacation\.env.local; backups\_20260108_0711brain\.env.local; backups\_20260108_0711cevict\apps\progno\.env.local; backups\_20260108_0711gcc\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; backups\_20260108_0711progno\.env.local; backups\_20260108_0711prognostication\.env.local; backups\_20260108_0711smokersrights\.env.local; backups\_20260108_0711wheretovacation\.env.local; backups\_20260108_0711wheretovacation\.env.local; old-cevict-monorepo\apps\smokersrights\.env.example	(use -IncludeValues to show)
AGENT_PORT	yes	backups\_20260108_0705local-agent\.env.local; backups\_20260108_0711local-agent\.env.local; old-cevict-monorepo\apps\local-agent\.env.example	(use -IncludeValues to show)
ALERT_EMAIL	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
ALERT_SMS	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
ALERT_WEBHOOK_URL	no	cloud-orchestrator\.env.example	(use -IncludeValues to show)
ALEXA_SKILL_ID	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
ALLOW_TIP_TEST_MODE	yes	apps\gulfcoastcharters\.env.local	(use -IncludeValues to show)
